"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"08/01/2022 15:00:00 - 08/01/2022 16:00:00","BZN|HU","Without sequence","173.88","",""
"08/01/2022 16:00:00 - 08/01/2022 17:00:00","BZN|HU","Without sequence","200.89","",""
"08/01/2022 17:00:00 - 08/01/2022 18:00:00","BZN|HU","Without sequence","210.24","",""
"08/01/2022 18:00:00 - 08/01/2022 19:00:00","BZN|HU","Without sequence","188.85","",""
"08/01/2022 19:00:00 - 08/01/2022 20:00:00","BZN|HU","Without sequence","179.31","",""
"08/01/2022 20:00:00 - 08/01/2022 21:00:00","BZN|HU","Without sequence","162.02","",""
"08/01/2022 21:00:00 - 08/01/2022 22:00:00","BZN|HU","Without sequence","156.04","",""
"08/01/2022 22:00:00 - 08/01/2022 23:00:00","BZN|HU","Without sequence","156.1","",""
"08/01/2022 23:00:00 - 09/01/2022 00:00:00","BZN|HU","Without sequence","154.92","",""
"09/01/2022 00:00:00 - 09/01/2022 01:00:00","BZN|HU","Without sequence","117.32","",""
"09/01/2022 01:00:00 - 09/01/2022 02:00:00","BZN|HU","Without sequence","125.25","",""
"09/01/2022 02:00:00 - 09/01/2022 03:00:00","BZN|HU","Without sequence","120.02","",""
"09/01/2022 03:00:00 - 09/01/2022 04:00:00","BZN|HU","Without sequence","72.62","",""
"09/01/2022 04:00:00 - 09/01/2022 05:00:00","BZN|HU","Without sequence","62.51","",""
"09/01/2022 05:00:00 - 09/01/2022 06:00:00","BZN|HU","Without sequence","117.32","",""
"09/01/2022 06:00:00 - 09/01/2022 07:00:00","BZN|HU","Without sequence","125.24","",""
"09/01/2022 07:00:00 - 09/01/2022 08:00:00","BZN|HU","Without sequence","140.54","",""
"09/01/2022 08:00:00 - 09/01/2022 09:00:00","BZN|HU","Without sequence","175.57","",""
"09/01/2022 09:00:00 - 09/01/2022 10:00:00","BZN|HU","Without sequence","183.09","",""
