"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"11/01/2022 16:00:00 - 11/01/2022 17:00:00","BZN|IT-North","Without sequence","289.94","",""
"11/01/2022 17:00:00 - 11/01/2022 18:00:00","BZN|IT-North","Without sequence","316.4","",""
"11/01/2022 18:00:00 - 11/01/2022 19:00:00","BZN|IT-North","Without sequence","315.9","",""
"11/01/2022 19:00:00 - 11/01/2022 20:00:00","BZN|IT-North","Without sequence","309.2","",""
"11/01/2022 20:00:00 - 11/01/2022 21:00:00","BZN|IT-North","Without sequence","285.33","",""
"11/01/2022 21:00:00 - 11/01/2022 22:00:00","BZN|IT-North","Without sequence","245.0","",""
"11/01/2022 22:00:00 - 11/01/2022 23:00:00","BZN|IT-North","Without sequence","235.22","",""
"11/01/2022 23:00:00 - 12/01/2022 00:00:00","BZN|IT-North","Without sequence","211.84","",""
"12/01/2022 00:00:00 - 12/01/2022 01:00:00","BZN|IT-North","Without sequence","196.65","",""
"12/01/2022 01:00:00 - 12/01/2022 02:00:00","BZN|IT-North","Without sequence","187.1","",""
"12/01/2022 02:00:00 - 12/01/2022 03:00:00","BZN|IT-North","Without sequence","184.27","",""
